set,reel,position,symbol
base,1,0,SCATTER
base,1,1,SWORD
base,1,2,CHALICE
base,1,3,RING
base,1,4,CROWN
base,1,5,TEN
base,1,6,J
base,1,7,Q
base,1,8,K
base,1,9,A
base,1,10,SWORD
base,1,11,CHALICE
base,1,12,RING
base,1,13,TEN
base,1,14,J
base,1,15,Q
base,1,16,K
base,1,17,A
base,1,18,SWORD
base,1,19,CHALICE
base,1,20,TEN
base,1,21,J
base,1,22,Q
base,1,23,K
base,1,24,A
base,1,25,SWORD
base,1,26,TEN
base,1,27,J
base,1,28,Q
base,1,29,K
base,1,30,A
base,1,31,TEN
base,1,32,J
base,1,33,Q
base,1,34,K
base,1,35,A
base,1,36,TEN
base,1,37,J
base,1,38,Q
base,1,39,K
base,1,40,TEN
base,1,41,J
base,2,0,SCATTER
base,2,1,WILD
base,2,2,SWORD
base,2,3,CHALICE
base,2,4,RING
base,2,5,CROWN
base,2,6,TEN
base,2,7,J
base,2,8,Q
base,2,9,K
base,2,10,A
base,2,11,SWORD
base,2,12,CHALICE
base,2,13,RING
base,2,14,TEN
base,2,15,J
base,2,16,Q
base,2,17,K
base,2,18,A
base,2,19,SWORD
base,2,20,CHALICE
base,2,21,WILD
base,2,22,TEN
base,2,23,J
base,2,24,Q
base,2,25,K
base,2,26,A
base,2,27,SWORD
base,2,28,TEN
base,2,29,J
base,2,30,Q
base,2,31,K
base,2,32,A
base,2,33,TEN
base,2,34,J
base,2,35,Q
base,2,36,K
base,2,37,A
base,2,38,TEN
base,2,39,J
base,2,40,Q
base,3,0,SCATTER
base,3,1,WILD
base,3,2,SWORD
base,3,3,CHALICE
base,3,4,RING
base,3,5,CROWN
base,3,6,TEN
base,3,7,J
base,3,8,Q
base,3,9,K
base,3,10,A
base,3,11,SWORD
base,3,12,CHALICE
base,3,13,RING
base,3,14,TEN
base,3,15,J
base,3,16,Q
base,3,17,K
base,3,18,A
base,3,19,SWORD
base,3,20,CHALICE
base,3,21,WILD
base,3,22,TEN
base,3,23,J
base,3,24,Q
base,3,25,K
base,3,26,A
base,3,27,SWORD
base,3,28,TEN
base,3,29,J
base,3,30,Q
base,3,31,K
base,3,32,A
base,3,33,TEN
base,3,34,J
base,3,35,Q
base,3,36,K
base,3,37,A
base,3,38,TEN
base,3,39,J
base,3,40,Q
base,4,0,SCATTER
base,4,1,WILD
base,4,2,SWORD
base,4,3,CHALICE
base,4,4,RING
base,4,5,CROWN
base,4,6,TEN
base,4,7,J
base,4,8,Q
base,4,9,K
base,4,10,A
base,4,11,SWORD
base,4,12,CHALICE
base,4,13,RING
base,4,14,TEN
base,4,15,J
base,4,16,Q
base,4,17,K
base,4,18,A
base,4,19,SWORD
base,4,20,CHALICE
base,4,21,WILD
base,4,22,TEN
base,4,23,J
base,4,24,Q
base,4,25,K
base,4,26,A
base,4,27,SWORD
base,4,28,TEN
base,4,29,J
base,4,30,Q
base,4,31,K
base,4,32,A
base,4,33,TEN
base,4,34,J
base,4,35,Q
base,4,36,K
base,4,37,A
base,4,38,TEN
base,4,39,J
base,4,40,Q
base,5,0,SCATTER
base,5,1,SWORD
base,5,2,CHALICE
base,5,3,RING
base,5,4,CROWN
base,5,5,TEN
base,5,6,J
base,5,7,Q
base,5,8,K
base,5,9,A
base,5,10,SWORD
base,5,11,CHALICE
base,5,12,RING
base,5,13,TEN
base,5,14,J
base,5,15,Q
base,5,16,K
base,5,17,A
base,5,18,SWORD
base,5,19,CHALICE
base,5,20,TEN
base,5,21,J
base,5,22,Q
base,5,23,K
base,5,24,A
base,5,25,SWORD
base,5,26,TEN
base,5,27,J
base,5,28,Q
base,5,29,K
base,5,30,A
base,5,31,TEN
base,5,32,J
base,5,33,Q
base,5,34,K
base,5,35,A
base,5,36,TEN
base,5,37,J
base,5,38,Q
base,5,39,K
base,5,40,TEN
base,5,41,J
free,1,0,SCATTER
free,1,1,SWORD
free,1,2,CHALICE
free,1,3,RING
free,1,4,CROWN
free,1,5,TEN
free,1,6,J
free,1,7,Q
free,1,8,K
free,1,9,A
free,1,10,SWORD
free,1,11,CHALICE
free,1,12,RING
free,1,13,CROWN
free,1,14,TEN
free,1,15,J
free,1,16,Q
free,1,17,K
free,1,18,A
free,1,19,SWORD
free,1,20,CHALICE
free,1,21,RING
free,1,22,TEN
free,1,23,J
free,1,24,Q
free,1,25,K
free,1,26,A
free,1,27,SWORD
free,1,28,TEN
free,1,29,J
free,1,30,Q
free,1,31,K
free,1,32,A
free,1,33,TEN
free,1,34,J
free,1,35,Q
free,1,36,K
free,1,37,A
free,1,38,TEN
free,1,39,J
free,2,0,SCATTER
free,2,1,WILD
free,2,2,SWORD
free,2,3,CHALICE
free,2,4,RING
free,2,5,CROWN
free,2,6,TEN
free,2,7,J
free,2,8,Q
free,2,9,K
free,2,10,WILD
free,2,11,A
free,2,12,SWORD
free,2,13,CHALICE
free,2,14,RING
free,2,15,CROWN
free,2,16,TEN
free,2,17,J
free,2,18,Q
free,2,19,K
free,2,20,WILD
free,2,21,A
free,2,22,SWORD
free,2,23,CHALICE
free,2,24,RING
free,2,25,TEN
free,2,26,J
free,2,27,Q
free,2,28,K
free,2,29,A
free,2,30,WILD
free,2,31,SWORD
free,2,32,TEN
free,2,33,J
free,2,34,Q
free,2,35,K
free,2,36,A
free,2,37,TEN
free,2,38,J
free,2,39,Q
free,3,0,SCATTER
free,3,1,WILD
free,3,2,SWORD
free,3,3,CHALICE
free,3,4,RING
